"Fungal_Genus","Bacterial_Genus","Group","Spearman_Rho","P_value","Mean_Fungal_Abundance","Mean_Bacterial_Abundance"
"g__Candida","g__Escherichia","Probiotic_Day1",-0.178571428571429,0.713095238095238,0.346542040001342,0.816333406055529
"g__Candida","g__Enterococcus","Probiotic_Day1",-0.142857142857143,0.782539682539683,0.346542040001342,0.0388014075643316
"g__Candida","g__Lactobacillus","Probiotic_Day1",0.0357142857142857,0.963492063492064,0.346542040001342,0.00121059114862574
"g__Candida","g__Faecalibacterium","Probiotic_Day1",0.178571428571429,0.713095238095238,0.346542040001342,0.000443428110020146
"g__Candida","g__Bifidobacterium","Probiotic_Day1",-0.25,0.59484126984127,0.346542040001342,0.000138345115643268
"g__Candida","g__Limosilactobacillus","Probiotic_Day1",0.285714285714286,0.555952380952381,0.346542040001342,0.000317883959314671
"g__Candida","g__Blautia","Probiotic_Day1",-0.285714285714286,0.555952380952381,0.346542040001342,0.000110841607350002
"g__Candida","g__Subdoligranulum","Probiotic_Day1",0.0714285714285714,0.906349206349206,0.346542040001342,0.00015055578931445
"g__Candida","g__Ligilactobacillus","Probiotic_Day1",0,1,0.346542040001342,0.000271855388135746
"g__Candida","g__Lachnoclostridium","Probiotic_Day1",0.0714285714285714,0.906349206349206,0.346542040001342,0.000117335545787591
"g__Candida","g__Clostridium","Probiotic_Day1",0.214285714285714,0.661507936507936,0.346542040001342,0.000252781470155366
"g__Candida","g__Massilistercora","Probiotic_Day1",0.0714285714285714,0.906349206349206,0.346542040001342,6.59691997064414e-05
"g__Candida","g__Streptococcus","Probiotic_Day1",0.571428571428571,0.2,0.346542040001342,0.0274665934171561
"g__Candida","g__Shigella","Probiotic_Day1",-0.0714285714285714,0.906349206349206,0.346542040001342,0.0278962524271404
"g__Candida","g__Flavonifractor","Probiotic_Day1",0.0714285714285714,0.906349206349206,0.346542040001342,7.01791500510631e-05
"g__Fusarium","g__Escherichia","Probiotic_Day1",-0.285714285714286,0.555952380952381,0.210980653713212,0.816333406055529
"g__Fusarium","g__Enterococcus","Probiotic_Day1",0.285714285714286,0.555952380952381,0.210980653713212,0.0388014075643316
"g__Fusarium","g__Lactobacillus","Probiotic_Day1",0.357142857142857,0.444444444444444,0.210980653713212,0.00121059114862574
"g__Fusarium","g__Faecalibacterium","Probiotic_Day1",-0.464285714285714,0.302380952380952,0.210980653713212,0.000443428110020146
"g__Fusarium","g__Bifidobacterium","Probiotic_Day1",-0.142857142857143,0.782539682539683,0.210980653713212,0.000138345115643268
"g__Fusarium","g__Limosilactobacillus","Probiotic_Day1",0.607142857142857,0.166666666666667,0.210980653713212,0.000317883959314671
"g__Fusarium","g__Blautia","Probiotic_Day1",-0.428571428571428,0.353571428571429,0.210980653713212,0.000110841607350002
"g__Fusarium","g__Subdoligranulum","Probiotic_Day1",-0.285714285714286,0.555952380952381,0.210980653713212,0.00015055578931445
"g__Fusarium","g__Ligilactobacillus","Probiotic_Day1",0.142857142857143,0.782539682539683,0.210980653713212,0.000271855388135746
"g__Fusarium","g__Lachnoclostridium","Probiotic_Day1",-0.285714285714286,0.555952380952381,0.210980653713212,0.000117335545787591
"g__Fusarium","g__Clostridium","Probiotic_Day1",-0.214285714285714,0.661507936507936,0.210980653713212,0.000252781470155366
"g__Fusarium","g__Massilistercora","Probiotic_Day1",-0.285714285714286,0.555952380952381,0.210980653713212,6.59691997064414e-05
"g__Fusarium","g__Streptococcus","Probiotic_Day1",0,1,0.210980653713212,0.0274665934171561
"g__Fusarium","g__Shigella","Probiotic_Day1",-0.535714285714286,0.235714285714286,0.210980653713212,0.0278962524271404
"g__Fusarium","g__Flavonifractor","Probiotic_Day1",-0.285714285714286,0.555952380952381,0.210980653713212,7.01791500510631e-05
"g__Aspergillus","g__Escherichia","Probiotic_Day1",0,1,0.102759111043995,0.816333406055529
"g__Aspergillus","g__Enterococcus","Probiotic_Day1",-0.535714285714286,0.235714285714286,0.102759111043995,0.0388014075643316
"g__Aspergillus","g__Lactobacillus","Probiotic_Day1",-0.25,0.59484126984127,0.102759111043995,0.00121059114862574
"g__Aspergillus","g__Faecalibacterium","Probiotic_Day1",0.0357142857142857,0.963492063492064,0.102759111043995,0.000443428110020146
"g__Aspergillus","g__Bifidobacterium","Probiotic_Day1",-0.214285714285714,0.661507936507936,0.102759111043995,0.000138345115643268
"g__Aspergillus","g__Limosilactobacillus","Probiotic_Day1",-0.464285714285714,0.302380952380952,0.102759111043995,0.000317883959314671
"g__Aspergillus","g__Blautia","Probiotic_Day1",0.214285714285714,0.661507936507936,0.102759111043995,0.000110841607350002
"g__Aspergillus","g__Subdoligranulum","Probiotic_Day1",-0.142857142857143,0.782539682539683,0.102759111043995,0.00015055578931445
"g__Aspergillus","g__Ligilactobacillus","Probiotic_Day1",-0.142857142857143,0.782539682539683,0.102759111043995,0.000271855388135746
"g__Aspergillus","g__Lachnoclostridium","Probiotic_Day1",-0.142857142857143,0.782539682539683,0.102759111043995,0.000117335545787591
"g__Aspergillus","g__Clostridium","Probiotic_Day1",0.357142857142857,0.444444444444444,0.102759111043995,0.000252781470155366
"g__Aspergillus","g__Massilistercora","Probiotic_Day1",-0.142857142857143,0.782539682539683,0.102759111043995,6.59691997064414e-05
"g__Aspergillus","g__Streptococcus","Probiotic_Day1",0,1,0.102759111043995,0.0274665934171561
"g__Aspergillus","g__Shigella","Probiotic_Day1",0.642857142857143,0.138888888888889,0.102759111043995,0.0278962524271404
"g__Aspergillus","g__Flavonifractor","Probiotic_Day1",-0.142857142857143,0.782539682539683,0.102759111043995,7.01791500510631e-05
"g__Malassezia","g__Escherichia","Probiotic_Day1",0.14824986333222,0.751079752657907,0.0787912346051881,0.816333406055529
"g__Malassezia","g__Enterococcus","Probiotic_Day1",-0.185312329165275,0.690777796191686,0.0787912346051881,0.0388014075643316
"g__Malassezia","g__Lactobacillus","Probiotic_Day1",-0.444749589996661,0.317371942828025,0.0787912346051881,0.00121059114862574
"g__Malassezia","g__Faecalibacterium","Probiotic_Day1",0.407687124163606,0.363942483591946,0.0787912346051881,0.000443428110020146
"g__Malassezia","g__Bifidobacterium","Probiotic_Day1",0.037062465833055,0.937124008662856,0.0787912346051881,0.000138345115643268
"g__Malassezia","g__Limosilactobacillus","Probiotic_Day1",-0.555936987495826,0.195022425194957,0.0787912346051881,0.000317883959314671
"g__Malassezia","g__Blautia","Probiotic_Day1",0.370624658330551,0.413116200255166,0.0787912346051881,0.000110841607350002
"g__Malassezia","g__Subdoligranulum","Probiotic_Day1",0.22237479499833,0.631749338926165,0.0787912346051881,0.00015055578931445
"g__Malassezia","g__Ligilactobacillus","Probiotic_Day1",-0.259437260831385,0.574237065832992,0.0787912346051881,0.000271855388135746
"g__Malassezia","g__Lachnoclostridium","Probiotic_Day1",0.22237479499833,0.631749338926165,0.0787912346051881,0.000117335545787591
"g__Malassezia","g__Clostridium","Probiotic_Day1",0.185312329165275,0.690777796191686,0.0787912346051881,0.000252781470155366
"g__Malassezia","g__Massilistercora","Probiotic_Day1",0.22237479499833,0.631749338926165,0.0787912346051881,6.59691997064414e-05
"g__Malassezia","g__Streptococcus","Probiotic_Day1",-0.0741249316661101,0.874507032425875,0.0787912346051881,0.0274665934171561
"g__Malassezia","g__Shigella","Probiotic_Day1",0.370624658330551,0.413116200255166,0.0787912346051881,0.0278962524271404
"g__Malassezia","g__Flavonifractor","Probiotic_Day1",0.22237479499833,0.631749338926165,0.0787912346051881,7.01791500510631e-05
"g__Talaromyces","g__Escherichia","Probiotic_Day1",0.216730361715753,0.640647161520459,0.0151179569784221,0.816333406055529
"g__Talaromyces","g__Enterococcus","Probiotic_Day1",-0.295541402339663,0.519894777129693,0.0151179569784221,0.0388014075643316
"g__Talaromyces","g__Lactobacillus","Probiotic_Day1",0.039405520311955,0.933155037489281,0.0151179569784221,0.00121059114862574
"g__Talaromyces","g__Faecalibacterium","Probiotic_Day1",0.768407646083123,0.0435652871666423,0.0151179569784221,0.000443428110020146
"g__Talaromyces","g__Bifidobacterium","Probiotic_Day1",0.354649682807595,0.435065767690305,0.0151179569784221,0.000138345115643268
"g__Talaromyces","g__Limosilactobacillus","Probiotic_Day1",-0.039405520311955,0.933155037489281,0.0151179569784221,0.000317883959314671
"g__Talaromyces","g__Blautia","Probiotic_Day1",0.39405520311955,0.381736493447254,0.0151179569784221,0.000110841607350002
"g__Talaromyces","g__Subdoligranulum","Probiotic_Day1",0.591082804679325,0.162225040005352,0.0151179569784221,0.00015055578931445
"g__Talaromyces","g__Ligilactobacillus","Probiotic_Day1",0.216730361715753,0.640647161520459,0.0151179569784221,0.000271855388135746
"g__Talaromyces","g__Lachnoclostridium","Probiotic_Day1",0.591082804679325,0.162225040005352,0.0151179569784221,0.000117335545787591
"g__Talaromyces","g__Clostridium","Probiotic_Day1",-0.15762208124782,0.735724088317883,0.0151179569784221,0.000252781470155366
"g__Talaromyces","g__Massilistercora","Probiotic_Day1",0.591082804679325,0.162225040005352,0.0151179569784221,6.59691997064414e-05
"g__Talaromyces","g__Streptococcus","Probiotic_Day1",0.07881104062391,0.866621343241869,0.0151179569784221,0.0274665934171561
"g__Talaromyces","g__Shigella","Probiotic_Day1",0.039405520311955,0.933155037489281,0.0151179569784221,0.0278962524271404
"g__Talaromyces","g__Flavonifractor","Probiotic_Day1",0.591082804679325,0.162225040005352,0.0151179569784221,7.01791500510631e-05
"g__Pyricularia","g__Escherichia","Probiotic_Day1",0.133630620956212,0.775161696238149,0.00532106782106782,0.816333406055529
"g__Pyricularia","g__Enterococcus","Probiotic_Day1",-0.489978943506111,0.264330024481354,0.00532106782106782,0.0388014075643316
"g__Pyricularia","g__Lactobacillus","Probiotic_Day1",0.222717701593687,0.631209909692864,0.00532106782106782,0.00121059114862574
"g__Pyricularia","g__Faecalibacterium","Probiotic_Day1",0.757240185418536,0.0486907061641947,0.00532106782106782,0.000443428110020146
"g__Pyricularia","g__Bifidobacterium","Probiotic_Day1",0.445435403187374,0.316535899028545,0.00532106782106782,0.000138345115643268
"g__Pyricularia","g__Limosilactobacillus","Probiotic_Day1",0.0445435403187374,0.924455534313982,0.00532106782106782,0.000317883959314671
"g__Pyricularia","g__Blautia","Probiotic_Day1",0.579066024143586,0.173105846245132,0.00532106782106782,0.000110841607350002
"g__Pyricularia","g__Subdoligranulum","Probiotic_Day1",0.579066024143586,0.173105846245132,0.00532106782106782,0.00015055578931445
"g__Pyricularia","g__Ligilactobacillus","Probiotic_Day1",0.400891862868637,0.372769023006535,0.00532106782106782,0.000271855388135746
"g__Pyricularia","g__Lachnoclostridium","Probiotic_Day1",0.579066024143586,0.173105846245132,0.00532106782106782,0.000117335545787591
"g__Pyricularia","g__Clostridium","Probiotic_Day1",-0.267261241912424,0.562312270470492,0.00532106782106782,0.000252781470155366
"g__Pyricularia","g__Massilistercora","Probiotic_Day1",0.579066024143586,0.173105846245132,0.00532106782106782,6.59691997064414e-05
"g__Pyricularia","g__Streptococcus","Probiotic_Day1",-0.133630620956212,0.775161696238149,0.00532106782106782,0.0274665934171561
"g__Pyricularia","g__Shigella","Probiotic_Day1",0.0445435403187374,0.924455534313982,0.00532106782106782,0.0278962524271404
"g__Pyricularia","g__Flavonifractor","Probiotic_Day1",0.579066024143586,0.173105846245132,0.00532106782106782,7.01791500510631e-05
"g__Colletotrichum","g__Escherichia","Probiotic_Day1",0.204124145231932,0.66064215524065,0.000830564784053156,0.816333406055529
"g__Colletotrichum","g__Enterococcus","Probiotic_Day1",0.408248290463863,0.363217467649123,0.000830564784053156,0.0388014075643316
"g__Colletotrichum","g__Lactobacillus","Probiotic_Day1",-0.408248290463863,0.363217467649122,0.000830564784053156,0.00121059114862574
"g__Colletotrichum","g__Faecalibacterium","Probiotic_Day1",0,1,0.000830564784053156,0.000443428110020146
"g__Colletotrichum","g__Bifidobacterium","Probiotic_Day1",-0.204124145231932,0.66064215524065,0.000830564784053156,0.000138345115643268
"g__Colletotrichum","g__Limosilactobacillus","Probiotic_Day1",-0.204124145231932,0.66064215524065,0.000830564784053156,0.000317883959314671
"g__Colletotrichum","g__Blautia","Probiotic_Day1",-0.408248290463863,0.363217467649122,0.000830564784053156,0.000110841607350002
"g__Colletotrichum","g__Subdoligranulum","Probiotic_Day1",0,1,0.000830564784053156,0.00015055578931445
"g__Colletotrichum","g__Ligilactobacillus","Probiotic_Day1",-0.408248290463863,0.363217467649122,0.000830564784053156,0.000271855388135746
"g__Colletotrichum","g__Lachnoclostridium","Probiotic_Day1",0,1,0.000830564784053156,0.000117335545787591
"g__Colletotrichum","g__Clostridium","Probiotic_Day1",0.204124145231932,0.66064215524065,0.000830564784053156,0.000252781470155366
"g__Colletotrichum","g__Massilistercora","Probiotic_Day1",0,1,0.000830564784053156,6.59691997064414e-05
"g__Colletotrichum","g__Streptococcus","Probiotic_Day1",0.408248290463863,0.363217467649123,0.000830564784053156,0.0274665934171561
"g__Colletotrichum","g__Shigella","Probiotic_Day1",0,1,0.000830564784053156,0.0278962524271404
"g__Colletotrichum","g__Flavonifractor","Probiotic_Day1",0,1,0.000830564784053156,7.01791500510631e-05
"g__Ascochyta","g__Escherichia","Probiotic_Day1",0.408248290463863,0.363217467649123,0.0133928571428571,0.816333406055529
"g__Ascochyta","g__Enterococcus","Probiotic_Day1",-0.612372435695794,0.143810808711604,0.0133928571428571,0.0388014075643316
"g__Ascochyta","g__Lactobacillus","Probiotic_Day1",0.408248290463863,0.363217467649123,0.0133928571428571,0.00121059114862574
