Fungal_Genus,Bacterial_Genus,Group,Spearman_Rho,P_value,Mean_Fungal_Abundance,Mean_Bacterial_Abundance
g__Colletotrichum,g__Escherichia,BMD_Day10,0.946124747,0.000375312,0.05592803,0.088383575
g__Colletotrichum,g__Clostridium,Essential oils_Day21,-0.938590635,0.000552616,0.035162325,0.025490275
g__Ustilago,g__Enterococcus,Probiotic_Day10,-0.922172222,0.001110817,0.013733262,0.348663451
g__Cutaneotrichosporon,g__Escherichia,BMD_Day21,-0.922172222,0.001110817,0.012709718,0.034579915
g__Malassezia,g__Blautia,BMD_Day21,-0.952380952,0.001140873,0.163369634,0.032763245
g__Pyricularia,g__Faecalibacterium,Basal Diet_Day10,0.9,0.002028219,0.056864348,0.027285664
g__Saccharomyces,g__Blautia,Essential oils_Day10,-0.902707567,0.002137647,0.009617849,0.030232111
g__Saccharomyces,g__Lachnoclostridium,Essential oils_Day10,-0.902707567,0.002137647,0.009617849,0.0231741
g__Eremothecium,g__Massilistercora,Probiotic_Day21,-0.898219696,0.002438797,0.050449409,0.018905126
g__Candida,g__Clostridium,Essential oils_Day21,-0.887856007,0.003235981,0.008178216,0.025490275
g__Cutaneotrichosporon,g__Clostridium,Essential oils_Day21,-0.887856007,0.003235981,0.011898533,0.025490275
g__Zymoseptoria,g__Escherichia,Probiotic_Day10,0.874267171,0.004512386,0.037737105,0.042087477
g__Pyricularia,g__Limosilactobacillus,BMD_Day21,-0.904761905,0.004563492,0.093822448,0.051205899
g__Eremothecium,g__Clostridium,Essential oils_Day21,-0.872871561,0.004659215,0.015520235,0.025490275
g__Cutaneotrichosporon,g__Clostridium,Essential oils_Day1,0.872871561,0.004659215,0.009276036,0.002112645
g__Saccharomyces,g__Massilistercora,Essential oils_Day10,-0.853912564,0.006965288,0.009617849,0.016541913
g__Ustilago,g__Flavonifractor,Essential oils_Day10,0.880952381,0.007242063,0.036762777,0.014240793
g__Zymoseptoria,g__Blautia,BMD_Day21,0.880952381,0.007242063,0.041436817,0.032763245
g__Trichoderma,g__Lachnoclostridium,Essential oils_Day10,0.850314646,0.007471415,0.024831432,0.0231741
g__Saccharomyces,g__Faecalibacterium,Probiotic_Day10,0.850314646,0.007471415,0.011953729,0.020359617
g__Ascochyta,g__Streptococcus,BMD_Day21,0.849805035,0.007544942,0.027423751,0.002749794
g__Ascochyta,g__Blautia,Basal Diet_Day21,-0.845594325,0.008170172,0.139673913,0.030077644
g__Saccharomyces,g__Escherichia,Basal Diet_Day21,-0.845594325,0.008170172,0.005293173,0.09477239
g__Saccharomyces,g__Bifidobacterium,Basal Diet_Day21,0.845594325,0.008170172,0.005293173,0.099939287
g__Saccharomyces,g__Shigella,Basal Diet_Day21,-0.845594325,0.008170172,0.005293173,0.004074746
g__Eremothecium,g__Escherichia,Basal Diet_Day21,-0.845594325,0.008170172,0.016034352,0.09477239
g__Eremothecium,g__Bifidobacterium,Basal Diet_Day21,0.845594325,0.008170172,0.016034352,0.099939287
g__Eremothecium,g__Shigella,Basal Diet_Day21,-0.845594325,0.008170172,0.016034352,0.004074746
g__Trichoderma,g__Massilistercora,Essential oils_Day10,0.838338383,0.009323116,0.024831432,0.016541913
g__Tetrapisispora,g__Blautia,BMD_Day21,0.834748647,0.009929687,0.021370822,0.032763245
g__Fusarium,g__Enterococcus,Essential oils_Day1,0.857142857,0.010714286,0.194187688,0.062196557
g__Aspergillus,g__Lactobacillus,BMD_Day10,0.857142857,0.010714286,0.126074891,0.209827214
g__Pyricularia,g__Subdoligranulum,Essential oils_Day21,-0.857142857,0.010714286,0.096872416,0.050284017
g__Aspergillus,g__Faecalibacterium,Probiotic_Day21,-0.857142857,0.010714286,0.069817459,0.109035206
g__Saccharomyces,g__Enterococcus,Essential oils_Day10,0.829515062,0.010857955,0.009617849,0.271247388
g__Talaromyces,g__Faecalibacterium,Basal Diet_Day21,0.829515062,0.010857955,0.0897301,0.101148384
g__Candida,g__Clostridium,Essential oils_Day1,-0.826362121,0.011442765,0.405032299,0.002112645
g__Trichoderma,g__Enterococcus,Probiotic_Day21,0.826362121,0.011442765,0.026884743,0.036910149
g__Aspergillus,g__Clostridium,Basal Diet_Day21,-0.826362121,0.011442765,0.137428766,0.026814159
g__Talaromyces,g__Escherichia,Basal Diet_Day1,0.785068999,0.012194613,0.00475262,0.731920299
g__Trichoderma,g__Clostridium,Essential oils_Day10,0.814385858,0.013844257,0.024831432,0.029358511
g__Cutaneotrichosporon,g__Clostridium,BMD_Day21,0.814385858,0.013844257,0.012709718,0.020958115
g__Eremothecium,g__Subdoligranulum,Probiotic_Day10,0.811754063,0.014411077,0.013568321,0.021243091
g__Pyricularia,g__Escherichia,BMD_Day10,-0.833333333,0.015376984,0.054398399,0.088383575
g__Pyricularia,g__Subdoligranulum,BMD_Day21,0.833333333,0.015376984,0.093822448,0.039748354
g__Saccharomyces,g__Clostridium,Essential oils_Day10,-0.80511756,0.015904562,0.009617849,0.029358511
g__Trichoderma,g__Blautia,Essential oils_Day10,0.802409595,0.016540723,0.024831432,0.030232111
g__Zymoseptoria,g__Shigella,Probiotic_Day10,0.802409595,0.016540723,0.037737105,0.000833675
g__Ustilago,g__Subdoligranulum,Probiotic_Day10,0.802409595,0.016540723,0.013733262,0.021243091
g__Eremothecium,g__Limosilactobacillus,Probiotic_Day21,0.802409595,0.016540723,0.050449409,0.024243884
g__Pyricularia,g__Bifidobacterium,Basal Diet_Day10,0.783333333,0.017223325,0.056864348,0.057273827
g__Pyricularia,g__Flavonifractor,Basal Diet_Day10,0.783333333,0.017223325,0.056864348,0.009043991
g__Colletotrichum,g__Ligilactobacillus,Essential oils_Day21,0.799070406,0.017346826,0.035162325,0.039494027
g__Zymoseptoria,g__Blautia,Essential oils_Day21,-0.791039852,0.019384841,0.021362486,0.047604416
g__Eremothecium,g__Ligilactobacillus,Essential oils_Day21,0.791039852,0.019384841,0.015520235,0.039494027
g__Cutaneotrichosporon,g__Escherichia,Basal Diet_Day21,-0.791039852,0.019384841,0.021077243,0.09477239
g__Cutaneotrichosporon,g__Bifidobacterium,Basal Diet_Day21,0.791039852,0.019384841,0.021077243,0.099939287
g__Cutaneotrichosporon,g__Shigella,Basal Diet_Day21,-0.791039852,0.019384841,0.021077243,0.004074746
g__Eremothecium,g__Blautia,Probiotic_Day21,-0.790433333,0.019544537,0.050449409,0.032702945
g__Pyricularia,g__Subdoligranulum,Basal Diet_Day10,0.766666667,0.021389991,0.056864348,0.014043194
g__Malassezia,g__Lachnoclostridium,Essential oils_Day10,-0.80952381,0.021775794,0.029995582,0.0231741
g__Fusarium,g__Blautia,BMD_Day21,-0.80952381,0.021775794,0.15184477,0.032763245
g__Pyricularia,g__Lachnoclostridium,BMD_Day21,0.80952381,0.021775794,0.093822448,0.040034722
g__Saccharomyces,g__Blautia,BMD_Day21,-0.780720058,0.022214515,0.016714085,0.032763245
g__Zymoseptoria,g__Limosilactobacillus,Basal Diet_Day21,0.780720058,0.022214515,0.039425984,0.025252998
g__Candida,g__Streptococcus,Basal Diet_Day10,0.739830038,0.022680892,0.112888233,0.011233379
